,temperature,cloudCover,precipIntensity,humidity,windSpeed
2018-01-01 15:00:00,0.77,0.75,0,0.95,3.1
2018-01-01 16:00:00,0.88,0.75,0,0.87,2.6
2018-01-01 17:00:00,0.88,0.75,0,0.81,1.99
2018-01-01 18:00:00,0.99,0.8,0,0.86,1.0
2018-01-01 19:00:00,0.88,0.75,0,0.87,0.8
2018-01-01 20:00:00,1.07,0.75,0,0.86,1.72
2018-01-01 21:00:00,0.73,0.85,0,0.92,1.35
2018-01-01 22:00:00,0.44,0.75,0,0.96,2.03
2018-01-01 23:00:00,0.08,0.75,0,0.99,2.01
2018-01-02 00:00:00,-0.21,0.94,0,1.0,2.0
2018-01-02 01:00:00,0.69,0.75,0,0.95,1.38
2018-01-02 02:00:00,0.76,0.75,0,0.95,0.5
2018-01-02 03:00:00,0.77,0.82,0,0.95,1.45
2018-01-02 04:00:00,1.78,0.75,0,0.88,1.88
2018-01-02 05:00:00,3.7,0.75,0,0.67,3.56
2018-01-02 06:00:00,3.04,0.75,0,0.67,2.93
2018-01-02 07:00:00,1.81,0.44,0,0.66,3.27
2018-01-02 08:00:00,1.73,0.75,0,0.66,3.4
2018-01-02 09:00:00,0.72,0.8,0,0.67,3.14
2018-01-02 10:00:00,-0.21,0.75,0,0.7,2.77
2018-01-02 11:00:00,-0.73,0.0,0,0.66,3.06
2018-01-02 12:00:00,-1.23,0.34,0,0.7,2.57
2018-01-02 13:00:00,-1.95,0.75,0,0.63,2.47
2018-01-02 14:00:00,-2.21,0.75,0,0.65,3.38
2018-01-02 15:00:00,-2.83,0.75,0,0.68,1.88
2018-01-02 16:00:00,-3.21,0.75,0,0.69,1.5
2018-01-02 17:00:00,-4.21,0.75,0,0.81,1.0
2018-01-02 18:00:00,-4.04,0.85,0,0.8,1.77
2018-01-02 19:00:00,-3.21,0.75,0,0.81,2.63
2018-01-02 20:00:00,-2.94,0.75,0,0.81,2.6
2018-01-02 21:00:00,-2.62,0.85,0,0.86,2.58
2018-01-02 22:00:00,-3.01,0.75,0,0.94,2.17
2018-01-02 23:00:00,-2.91,0.75,0,0.93,1.06
2018-01-03 00:00:00,-1.95,0.75,0,0.93,1.61
2018-01-03 01:00:00,-0.78,0.75,0,0.9,1.87
2018-01-03 02:00:00,0.09,0.75,0,0.83,4.67
2018-01-03 03:00:00,0.44,0.34,0,0.78,6.33
2018-01-03 04:00:00,1.07,0.0,0,0.7,5.11
2018-01-03 05:00:00,0.34,0.0,0,0.72,5.4
2018-01-03 06:00:00,0.08,0.34,0,0.69,4.09
2018-01-03 07:00:00,-1.24,0.0,0,0.71,4.08
2018-01-03 08:00:00,-1.24,0.75,0,0.7,4.07
2018-01-03 09:00:00,-2.22,0.61,0,0.75,3.57
2018-01-03 10:00:00,-2.92,0.0,0,0.73,3.29
2018-01-03 11:00:00,-3.21,0.0,0,0.7,3.06
2018-01-03 12:00:00,-4.21,0.34,0,0.75,3.94
2018-01-03 13:00:00,-3.22,0.0,0,0.7,3.59
2018-01-03 14:00:00,-3.21,0.75,0,0.69,3.45
2018-01-03 15:00:00,-2.61,0.75,0,0.67,2.8
2018-01-03 16:00:00,-3.21,0.75,0,0.81,2.74
2018-01-03 17:00:00,-3.22,0.75,0,0.86,3.1
2018-01-03 18:00:00,-3.22,0.85,0,0.81,3.17
2018-01-03 19:00:00,-3.21,0.75,0,0.81,1.69
2018-01-03 20:00:00,-3.21,0.75,0,0.85,2.99
2018-01-03 21:00:00,-3.22,0.8,0,0.88,2.54
2018-01-03 22:00:00,-3.21,0.0,0,0.82,3.18
2018-01-03 23:00:00,-4.21,0.0,0,0.87,2.18
2018-01-04 00:00:00,-3.21,0.34,0,0.8,2.7
2018-01-04 01:00:00,-2.26,0.0,0,0.74,2.91
